,Player,Team,ATT,YDS,TDS,REC,YDS.1,TDS.1,FL,Prediction
121,Justice Hill,BAL,18.7,79.8,0.2,6.3,35.9,0.1,0.2,6.680498
122,Eno Benjamin,NO,28.0,86.2,0.1,3.9,59.4,0.1,0.0,6.680498
123,Brittain Brown,LV,17.3,77.7,0.6,4.1,33.6,0.1,0.0,6.680498
124,Snoop Conner,JAC,19.8,90.5,0.8,3.2,19.0,0.1,0.1,6.680498
125,Lew Nichols III,GB,22.5,92.4,0.5,4.0,23.7,0.0,0.1,6.680498
126,Gary Brightwell,NYG,8.6,75.1,0.4,5.0,27.3,0.1,0.1,7.904334
127,Jonathan Williams,WAS,34.4,95.6,0.4,3.4,22.9,0.1,0.1,6.680498
128,Craig Reynolds,DET,17.5,69.4,0.1,4.4,48.7,0.2,0.0,6.680498
129,Jordan Mims,BUF,0.0,49.1,0.3,5.0,36.4,0.2,0.0,7.904334
130,Zander Horvath,LAC,6.1,14.3,0.0,5.5,25.1,1.1,0.0,7.904334
131,Rico Dowdle,DAL,27.7,82.6,0.4,2.6,22.2,0.1,0.0,6.680498
132,Ty'Son Williams,ARI,19.3,67.5,0.4,3.6,25.1,0.1,0.0,6.680498
133,Mike Boone,HOU,17.9,73.7,0.1,3.9,29.8,0.1,0.0,6.680498
134,C.J. Ham,MIN,6.9,16.7,0.1,7.3,37.3,0.3,0.0,7.871379
135,Alec Ingold,MIA,4.3,11.2,0.1,6.4,46.1,0.3,0.0,7.904334
136,Trey Sermon,PHI,17.5,58.8,0.1,3.9,29.6,0.1,0.1,6.680498
137,Damarea Crockett,NYJ,21.0,59.6,0.5,2.3,18.0,0.1,0.0,6.680498
138,La'Mical Perine,KC,4.2,17.6,0.2,5.0,35.7,0.3,0.0,7.904334
139,Patrick Ricard,BAL,6.4,15.5,0.0,7.0,40.0,0.3,0.6,7.871379
140,Jermar Jefferson,DET,4.6,19.4,0.2,4.4,34.5,0.3,0.0,7.904334
141,Ronnie Rivers,LAR,4.6,30.9,0.2,4.3,28.8,0.2,0.0,7.904334
142,Trestan Ebner,CHI,17.7,59.9,0.1,2.9,26.5,0.1,0.1,6.680498
143,Julius Chestnut,TEN,14.5,48.1,0.1,3.7,27.2,0.1,0.1,6.680498
144,Qadree Ollison,JAC,4.5,18.7,0.2,4.5,31.9,0.2,0.0,7.904334
145,Jason Cabinda,DET,4.6,12.5,0.1,4.4,33.3,0.3,0.0,7.904334
146,Larry Rountree III,LAC,4.3,17.6,0.0,4.8,36.1,0.2,0.0,7.904334
147,Giovanni Ricci,CAR,4.6,19.6,0.2,4.1,29.9,0.2,0.0,7.904334
148,Jason Huntley,PIT,4.9,20.7,0.2,4.0,29.0,0.2,0.0,7.904334
149,Patrick Laird,TB,4.4,18.2,0.2,4.1,30.5,0.2,0.0,7.904334
150,Spencer Brown,CAR,4.6,19.7,0.2,4.1,28.5,0.2,0.0,7.904334
151,Hunter Luepke,DAL,0.0,17.7,0.2,4.4,20.7,0.2,0.0,7.904334
152,Nate McCrary,CLE,5.4,22.7,0.1,3.8,28.1,0.2,0.0,7.904334
153,Gerrid Doaks,HOU,4.7,19.8,0.1,4.0,27.6,0.2,0.0,7.904334
154,Jaret Patterson,WAS,10.1,33.5,0.2,2.4,16.3,0.1,0.0,7.904334
155,Jonathan Ward,TEN,10.1,42.9,0.2,1.9,14.0,0.1,0.0,7.904334
156,Adam Prentice,NO,0.0,11.3,0.1,4.0,19.7,0.2,0.0,7.904334
157,Henry Pearson,GB,0.0,13,0.1,4.0,17.4,0.2,0.0,7.904334
158,Avery Williams,ATL,9.3,26.6,0.1,3.5,16.2,0.1,0.0,7.904334
159,Michael Burton,DEN,4.7,12.1,0.1,3.4,19.0,0.2,0.0,7.904334
160,Jack Colletto,SF,0.0,7.5,0.1,3.8,17.0,0.2,0.0,7.904334
161,Clint Ratkovich,ATL,0.0,7.9,0.1,3.8,16.3,0.2,0.0,7.904334
162,Jakob Johnson,LV,0.0,2,0.0,4.5,16.0,0.2,0.0,7.904334
163,Khari Blasingame,CHI,5.8,13.8,0.1,2.6,12.1,0.1,0.0,7.904334
164,Keith Smith,ATL,5.4,12.2,0.1,2.8,11.5,0.1,0.0,7.904334
165,John Kelly Jr.,CLE,5.4,14.4,0.1,2.2,16.1,0.1,0.0,7.904334
166,Zach Ojile,MIN,0.0,0.8,0.0,0.4,1.9,0.0,0.0,7.805382
167,Nick Bellore,SEA,0.0,0,0.0,0.0,0.0,0.0,0.0,7.805382
168,Keaton Mitchell,BAL,23.7,73.9,0.0,0.0,27.4,0.0,0.1,6.581546
169,Mohamed Ibrahim,DET,29.5,93.5,0.0,0.0,34.7,0.0,0.2,6.581546
