Player,Team,REC,YDS,TD,ATT,YDS,TDS,FL
Cam Sims,LV,3.4,50.9,0.1,0.1,0.4,0,0
Alex Erickson,NYJ,3.6,40.5,0.2,0,0,0,0
Brandon Johnson,DEN,3.2,39.8,0.2,0,0.7,0,0
Erik Ezukanma,MIA,3.6,42.2,0.2,0,0,0,0
James Proche II,BAL,2.1,42.2,0.1,0,2.9,0,0
Miles Boykin,PIT,3.3,41.5,0.2,0,0,0,0
Trent Taylor,CIN,2.3,32.2,0.2,0,5.8,0,0
C.J. Saunders,CAR,3.4,40.1,0.2,0,0,0,0
Dez Fitzpatrick,PIT,3.3,40.4,0.2,0,0,0,0
Cody White,PIT,3.4,39.9,0.2,0,0,0,0
Daylen Baldwin,CLE,3.1,39,0.2,0,0,0,0
Keke Coutee,NO,3.4,39,0.2,0,0,0,0
Marquez Stevenson,CAR,3.1,38.9,0.2,0,0,0,0
Keelan Cole Sr.,LV,3.3,38.8,0.2,0,0,0,0
Mason Kinsey,TEN,3.1,38.5,0.2,0,0,0,0
Michael Woods II,CLE,3.1,38.2,0.2,0,0,0,0
Racey McMath,TEN,3,37.8,0.2,0,0,0,0
Justin Shorter,BUF,0,46.6,0,0.2,1.2,0,0
David Sills V,NYG,0,45.1,0,0.3,2,0,0
Chris Conley,SF,3,35.8,0.2,0,0,0,0
Tylan Wallace,BAL,3,39.8,0.1,0.2,1,0,0
Malik Turner,IND,2.9,35.7,0.2,0,0,0,0
Vyncint Smith,IND,2.8,34.1,0.2,0,0,0,0
Anthony Schwartz,CLE,3,32,0.1,0.6,5.6,0.1,0.1
Josh Ali,ATL,2.8,32.7,0.2,0,0,0,0
Tim Jones,JAC,2.3,33.8,0.1,0,0.6,0,0
Quintez Cephus,DET,0,42,0,0,0,0,0
Andy Isabella,BUF,0.4,24.4,0.1,0,10.1,0.1,0
Dezmon Patmon,BUF,2.4,28.3,0.2,0,0.1,0,0
Frank Darby,ATL,1.6,31.1,0.1,0,0.5,0,0
Austin Trammell,LAR,1.7,31.7,0.1,0,0.4,0,0
Daurice Fountain,CHI,2.4,28.7,0.2,0,0,0,0
Nsimba Webster,CHI,2.4,28.5,0.2,0,0,0,0
Keith Kirkwood,NO,2.4,29.9,0.1,0,0.1,0,0
Dax Milne,WAS,3.5,33.9,0.1,0.1,0.8,0,0.2
James Washington,NO,2.1,27.8,0.1,0,0.1,0,0
Jalen Camp,HOU,1.6,24.3,0.1,0,3.3,0,0
Seth Williams,JAC,2,25.5,0.1,0,0.1,0,0
Kawaan Baker,NO,1.6,20,0.2,0,0,0,0
Dareke Young,SEA,2.7,21.6,0.1,0.1,0.4,0,0
Demetric Felton Jr.,CLE,0,23.2,0,0.1,0.6,0,0
Juwann Winfree,IND,0,22.4,0,0.2,1,0,0
Breshad Perriman,IND,1.1,16.6,0.1,0,0.7,0,0
Keelan Doss,LAC,0.5,7,0.1,0,0.6,0,0
Britain Covey,PHI,0,8.1,0,0,1.1,0,0
