,Player,Prediction,Actual,% Error
229,Jauan Jennings (SF),6.694371,5.2,28.737908143263592
230,Randall Cobb (NYJ),6.694371,6.3,6.259860689677893
231,Hunter Renfrow (LV),7.3145356,7.9,7.410941546476344
232,Van Jefferson (LAR),7.34725,7.9,6.996835636187207
233,Laviska Shenault Jr. (CAR),6.6703844,5.6,19.114007268633166
234,Julio Jones (FA),7.3089857,7.0,4.414081573486328
235,Tyquan Thornton (NE),7.3089857,5.5,32.890649275346235
236,Trenton Irwin (CIN),7.3089857,7.0,4.414081573486328
237,Tutu Atwell (LAR),6.6703844,5.3,25.856309566857682
238,Jarvis Landry (FA),6.6703844,6.7,0.4420237754707932
239,Kadarius Toney (KC),7.3089857,6.4,14.202901721000666
240,Kendall Hinton (DEN),6.6528373,5.1,30.44778973448511
241,Rashod Bateman (BAL),7.3089857,8.9,17.87656505456132
242,Tre'Quan Smith (NO),6.6703844,5.3,25.856309566857682
243,Wan'Dale Robinson (NYG),6.6703844,8.6,22.437390615773754
244,Michael Thomas (NO),7.3089857,17.0,57.005966410917395
245,Sammy Watkins (FA),6.6528373,5.2,27.93917839343731
246,Sterling Shepard (NYG),6.6703844,11.5,41.9966573300569
247,Lawrence Cager (NYG),6.6703844,5.1,30.791851118499164
248,T.Y. Hilton (FA),7.028985,6.4,9.827890992164606
249,John Brown (FA),8.757485,5.6,56.38366767338346
